0.095774,0.097648,0.094289,0.033522,0.039653,0.027188,0.038009,0.079269,0.052549,0.053795,0.04499,0.063965,0.074346
0.096802,0.097384,0.093972,0.033368,0.039674,0.03218,0.038645,0.078016,0.048772,0.054169,0.072635,0.059982,0.06718
0.096498,0.097289,0.093996,0.031256,0.041307,0.031063,0.035838,0.0767,0.049374,0.056393,0.071625,0.076463,0.070476
0.09663,0.097253,0.09345,0.030158,0.040576,0.029511,0.038024,0.062762,0.055143,0.062922,0.058767,0.08254,0.069493
0.095958,0.09731,0.094064,0.031729,0.040921,0.028807,0.042083,0.066787,0.049751,0.069558,0.053162,0.079349,0.06972
0.096335,0.098178,0.093804,0.032598,0.039587,0.0286,0.043371,0.056613,0.058711,0.065816,0.06482,0.063577,0.072657
0.096115,0.097722,0.093303,0.031458,0.040817,0.025631,0.041424,0.051675,0.063351,0.059161,0.060784,0.057458,0.076412
0.095985,0.097329,0.094508,NaN,0.039677,0.026324,0.040132,0.048882,NaN,NaN,0.060246,NaN,NaN
0.095957,0.097478,0.095254,0.032255,0.03919,0.042327,0.042852,0.055405,0.066635,0.047419,0.055088,0.063624,0.071871
0.096285,0.097594,0.093956,0.032008,0.042239,0.044113,0.043382,0.050828,0.064467,0.052343,0.055476,0.072586,0.066811
0.096491,0.097617,0.093648,0.032198,0.039068,0.040098,0.042556,0.047525,0.060288,0.059545,0.047963,0.072461,0.058128
0.095849,0.097413,0.092953,0.031794,0.035528,0.040036,0.044865,0.048257,0.050848,0.065509,0.054149,0.063067,0.063384
0.096282,0.097187,0.094146,0.031548,0.032667,0.030273,0.04457,0.048816,0.059048,0.058752,0.061007,0.065219,0.065802
0.096084,0.096796,0.093579,0.03206,0.035962,0.033217,0.040398,0.057118,0.070442,0.056956,0.06724,0.073133,0.073883
0.095439,0.097021,0.09354,0.031805,0.035108,0.032441,0.041407,0.065185,0.062815,0.055024,0.047122,0.069227,0.077342
0.095492,NaN,0.093404,NaN,0.041116,NaN,0.039472,NaN,0.054883,NaN,0.053121,NaN,NaN
0.095671,0.09821,0.093786,0.031176,0.042824,0.038682,0.043669,0.06444,0.062638,0.048107,0.061752,0.048492,0.061806
0.095495,0.098326,0.094004,0.031195,0.043635,0.038063,0.04136,0.073307,0.063885,0.07204,0.065575,0.062752,0.060919
0.095352,0.098968,0.094737,0.03123,0.041457,0.037455,0.04072,0.070096,0.069279,0.062571,0.067315,0.058746,0.058247
0.095332,0.098612,0.093645,0.031511,0.040865,0.039949,0.039189,0.066745,0.063067,0.055136,0.068318,0.056065,0.052648
0.095122,0.097447,0.093601,0.031703,0.0422,0.038906,0.038867,0.06014,0.061464,0.066484,0.062562,0.053236,0.057237
0.095635,0.097312,0.093608,0.031564,0.041298,0.040951,0.047509,0.063837,0.063922,0.055803,0.062924,0.054309,0.057621
0.09439,0.097039,0.092991,0.03182,0.041767,0.040606,0.044967,0.056754,0.056656,0.055431,0.064038,0.040887,0.058286
0.094998,NaN,NaN,0.031271,NaN,NaN,NaN,0.053429,NaN,0.053929,NaN,NaN,0.058787
0.09571,0.096427,0.094172,0.032901,0.047175,0.033288,0.056134,0.051734,0.053886,0.06772,0.055613,0.054072,0.065994
0.095564,0.09634,0.093956,0.03263,0.049477,0.037497,0.056202,0.05194,0.047928,0.074356,0.053265,0.05456,0.062754
0.095661,0.096505,0.093905,0.032634,0.051055,0.036386,0.04952,0.04899,0.052125,0.069043,0.067315,0.053309,0.069024
0.095801,0.096193,0.093259,0.032396,0.051138,0.033616,0.051889,0.053222,0.057027,0.068708,0.056657,0.054152,0.059094
